label,social_____avg_delta_follower,social_____avg_delta_friend,social_____avg_favourites,social_____avg_follower,social_____avg_friend,social_____avg_listed,social_____avg_statuses,social_____delta_followers_count_down,social_____delta_followers_count_else,social_____delta_followers_count_up,social_____delta_followers_count_up_percent,social_____max_delta_follower,social_____max_delta_friend,social_____max_favourites,social_____max_follower,social_____max_friend,social_____max_listed,social_____max_statuses,social_____verified_percent,tweet_id
false,-6017447.3873015875,-2737.980952380952,16292.98407643312,23989.729299363058,2096.582802547771,93.47133757961784,41650.78662420382,306.0,0.0,9.0,0.02857142857142857,21126.0,331433.0,480324.0,6626853.0,333164.0,19316.0,757004.0,0.006369426751592357,651825062174195712
false,-15832085.7375,1120.46875,23473.74213836478,285123.0188679245,1787.9308176100628,1105.4213836477988,77043.13836477988,155.0,0.0,5.0,0.03125,39019554.0,28354.0,445793.0,41806484.0,28695.0,138304.0,1651605.0,0.06289308176100629,633949800761700352
non-rumor,-12787312.66936791,1104.3435980551053,33991.677938808374,24519.62801932367,1397.8615136876006,201.36553945249597,58504.29307568438,615.0,0.0,2.0,0.0032414910858995136,121.0,38743.0,605693.0,13259046.0,38973.0,63394.0,1800803.0,0.02254428341384863,761999790892806144
true,-972590.2124183007,-47.68790849673203,17470.331606217616,7650.942606616181,1499.170585890793,125.21681944998006,45415.74850538063,2263.0,0.0,185.0,0.0755718954248366,1181882.0,45209.0,577003.0,1585614.0,46900.0,20395.0,2193728.0,0.07253886010362694,553587013409325058
true,-1699411.5555555555,433.24444444444447,27441.21978021978,74179.17582417582,1538.010989010989,1041.142857142857,75166.40659340659,86.0,0.0,4.0,0.044444444444444446,1127908.0,16247.0,280138.0,2863109.0,17130.0,32200.0,532898.0,0.10989010989010989,544513524438155264
false,-3645.3454545454547,-2441.5636363636363,32573.42328042328,3379.068783068783,3092.1111111111113,53.84656084656085,48125.021164021164,42.0,0.0,13.0,0.23636363636363636,5027.0,4744.0,781422.0,54858.0,55351.0,682.0,593587.0,0.005291005291005291,672539897899577344
non-rumor,-11046161.215686275,-110925.0,24679.646601941746,23890.6213592233,1339.178640776699,91.59611650485436,40825.211650485435,501.0,0.0,9.0,0.01764705882352941,1798.0,250.0,830241.0,11593001.0,117512.0,35870.0,699788.0,0.001941747572815534,693691456222052352
non-rumor,-10666542.962441314,-107232.53051643193,40890.80689655172,28019.86436781609,1233.4988505747126,122.10344827586206,60900.11494252874,413.0,0.0,13.0,0.03051643192488263,4197.0,4198.0,707178.0,11592979.0,117511.0,35870.0,959975.0,0.009195402298850575,693648684857323521
unverified,-39903.54084507042,-34377.82816901409,11793.89402173913,967.9184782608696,1007.7065217391304,12.752717391304348,19509.130434782608,338.0,0.0,17.0,0.04788732394366197,32133.0,2202.0,316577.0,49879.0,43708.0,335.0,313556.0,0.002717391304347826,655812191233417216
false,-12915980.663157895,198.88070175438597,24668.159010600706,53419.360424028266,1686.4911660777386,288.24734982332154,53281.55477031802,278.0,0.0,7.0,0.02456140350877193,1438.0,106996.0,591415.0,14269204.0,107532.0,56266.0,1955568.0,0.03180212014134275,672219174463275008
true,-7464421.373333333,586.0773333333333,16097.930666666667,23872.621333333333,1185.016,152.66666666666666,38646.19466666667,361.0,0.0,14.0,0.037333333333333336,9001.0,60454.0,447311.0,8456379.0,60824.0,38317.0,1178609.0,0.010666666666666666,614628865353351168
unverified,-199813.575,-56664.25833333333,50923.895973154365,13299.825503355705,6350.805369127517,135.44295302013424,83556.41946308725,119.0,0.0,1.0,0.008333333333333333,5798.0,4511.0,517654.0,388528.0,207879.0,2254.0,500748.0,0.003355704697986577,727854332188577792
true,-13656216.468085106,1698.212765957447,32063.63157894737,161977.67368421052,2889.757894736842,772.2210526315789,87111.52631578948,94.0,0.0,0.0,0.0,-1450.0,62063.0,483357.0,14269050.0,62599.0,56264.0,711227.0,0.07368421052631578,544358564484378624
unverified,-135424.7663551402,-31076.883177570093,41972.55156950673,5131.008968609865,4140.659192825112,86.60089686098655,72026.68609865471,213.0,0.0,1.0,0.004672897196261682,5715.0,90656.0,498530.0,162307.0,124344.0,2825.0,607272.0,0.004484304932735426,742012307694223361
unverified,-301616.04587155965,-9686.532110091743,54887.22935779816,7088.770642201835,3833.330275229358,121.11009174311927,89626.33027522935,105.0,0.0,4.0,0.03669724770642202,14314.0,29870.0,417583.0,329325.0,43999.0,2658.0,840862.0,0.009174311926605505,707332312724283392
unverified,-630922.9,1056.7454545454545,40962.92727272727,7893.190909090909,1709.8818181818183,122.58181818181818,69241.6,108.0,0.0,2.0,0.01818181818181818,202.0,29062.0,781429.0,681997.0,29566.0,7398.0,1320250.0,0.00909090909090909,755447443009916929
non-rumor,-51858066.75454546,738.6560606060606,24808.698027314113,89982.42640364188,1575.1198786039454,397.7405159332322,70346.39301972686,651.0,0.0,9.0,0.013636363636363636,656.0,65756.0,695965.0,55087350.0,65877.0,183191.0,1711952.0,0.021244309559939303,693555965019492352
unverified,-366687.60846560844,-5882.523809523809,38273.96315789474,10310.994736842105,1857.3526315789475,147.76315789473685,84378.2,185.0,0.0,4.0,0.021164021164021163,1167771.0,27612.0,492290.0,1389351.0,36298.0,10865.0,611577.0,0.015789473684210527,705092738224525312
unverified,-1885.3061224489795,-58.36734693877551,63027.666666666664,1296.7058823529412,862.5686274509804,55.11764705882353,66091.19607843137,73.0,0.0,25.0,0.25510204081632654,27613.0,6211.0,377551.0,28340.0,6654.0,579.0,425305.0,0.00980392156862745,724661834419048448
unverified,-37752.07627118644,-2168.2881355932204,49058.19512195122,2754.788617886179,1774.1707317073171,79.60975609756098,59480.64227642276,112.0,0.0,6.0,0.05084745762711865,25815.0,9883.0,466954.0,71512.0,13977.0,717.0,400004.0,0.024390243902439025,757190314880884736
true,-102674.76895306859,-2048.6570397111914,13991.41577060932,7781.111111111111,1529.0394265232974,164.24014336917563,39673.69892473118,263.0,0.0,14.0,0.05054151624548736,411275.0,34682.0,423467.0,533462.0,38131.0,5709.0,1323274.0,0.16129032258064516,544278985249550337
true,-18280566.506329115,1426.139240506329,20373.119047619046,223847.30952380953,2059.404761904762,849.7619047619048,70287.19047619047,79.0,0.0,0.0,0.0,-35593.0,26009.0,378973.0,18518029.0,26407.0,65780.0,1029353.0,0.047619047619047616,544367462012432384
unverified,-1786563.497925311,-493.4751037344398,63615.63599182004,8931.695296523518,3932.8486707566462,90.96319018404908,88984.51942740286,479.0,0.0,3.0,0.006224066390041493,2911.0,73982.0,695390.0,1925839.0,76074.0,5113.0,715453.0,0.002044989775051125,775672628493357057
non-rumor,-31501580.51321586,304.23568281938327,22427.923747276687,74677.09150326798,755.760348583878,147.10675381263616,30541.156862745098,439.0,0.0,15.0,0.03303964757709251,2333.0,64573.0,327304.0,33890927.0,64870.0,59968.0,424288.0,0.002178649237472767,692797856386777089
true,-2480589.2955974843,-306.69182389937106,16508.74074074074,22074.827160493827,1708.3395061728395,236.26543209876544,36256.01851851852,156.0,0.0,3.0,0.018867924528301886,1354.0,33791.0,157308.0,3250797.0,34046.0,25920.0,559070.0,0.030864197530864196,614645853291155457
non-rumor,-2024873.0642201835,-416.2798165137615,25157.52192982456,17943.05701754386,1458.061403508772,197.42543859649123,41409.662280701756,214.0,0.0,4.0,0.01834862385321101,5074.0,37028.0,376153.0,2863109.0,38290.0,32200.0,471504.0,0.021929824561403508,682916727282270208
unverified,-144527.6085106383,-21951.110638297872,56339.913385826774,10451.102362204725,7839.555118110236,105.16535433070867,88764.38976377953,230.0,0.0,5.0,0.02127659574468085,113119.0,158503.0,781383.0,279829.0,186919.0,1350.0,628980.0,0.003937007874015748,725983128444129280
unverified,-124120.91428571429,-5974.983673469388,80460.48412698413,4189.944444444444,2927.7658730158732,132.83333333333334,101377.49206349206,235.0,0.0,10.0,0.04081632653061224,3974.0,20446.0,898842.0,156388.0,30387.0,4960.0,989558.0,0.01984126984126984,766808183696351233
true,-8006967.846153846,571.8605769230769,13861.26066350711,43122.175355450236,1084.824644549763,239.96682464454977,34508.12796208531,204.0,0.0,4.0,0.019230769230769232,8810.0,13709.0,456121.0,8456402.0,14079.0,38317.0,394863.0,0.052132701421800945,552791196247269378
true,-137080.07531380752,-226.81729428172943,12472.36612021858,2894.004098360656,1085.0874316939892,71.02322404371584,25148.1912568306,649.0,0.0,68.0,0.09483960948396095,384921.0,23514.0,507774.0,394535.0,23997.0,3140.0,626043.0,0.050546448087431695,524943490887991296
false,-1181013.0202020202,-1663.010101010101,19101.09900990099,29066.970297029704,1056.0594059405942,63.45544554455446,40407.158415841586,97.0,0.0,2.0,0.020202020202020204,556741.0,5620.0,387797.0,1671653.0,8334.0,2707.0,488917.0,0.019801980198019802,667534186450825216
non-rumor,-37230836.840466924,1048.5953307392997,28067.41698841699,196919.57915057914,1753.2162162162163,827.7220077220077,66916.10038610038,256.0,0.0,1.0,0.0038910505836575876,736.0,127860.0,769765.0,39537705.0,127863.0,134851.0,1711952.0,0.03088803088803089,687643002240679936
unverified,-376828.29545454547,-10637.121212121212,33528.45185185185,7990.7555555555555,2648.4962962962964,159.65925925925927,72754.22962962963,130.0,0.0,2.0,0.015151515151515152,2403.0,72432.0,605736.0,490222.0,86920.0,6110.0,1257949.0,0.02962962962962963,723511860516016128
false,-13744270.724770643,810.7522935779816,26569.29090909091,131050.23636363636,1368.4818181818182,568.2,62096.77272727273,108.0,0.0,1.0,0.009174311926605505,716.0,11776.0,415170.0,14269196.0,12312.0,56266.0,409931.0,0.01818181818181818,677099574855639044
true,-5002663.160377358,1360.9433962264152,13622.485981308411,52107.64485981308,1617.0,577.0373831775701,68073.2523364486,105.0,0.0,1.0,0.009433962264150943,938.0,32287.0,186683.0,5152415.0,32516.0,52435.0,874911.0,0.028037383177570093,544391533240516608
false,-6037126.373076923,538.6076923076923,17814.984962406015,26621.552631578947,1112.4962406015038,224.83082706766916,35596.375939849626,253.0,0.0,7.0,0.026923076923076925,12991.0,13279.0,387916.0,6708972.0,13719.0,49924.0,431236.0,0.03007518796992481,656825206045020160
true,-32055.893203883494,-844.5436893203884,8154.140186915888,3492.2803738317757,1082.177570093458,70.3644859813084,23707.18691588785,95.0,0.0,8.0,0.07766990291262135,84828.0,6412.0,154191.0,93582.0,7324.0,1117.0,221334.0,0.08411214953271028,525025279803424768
non-rumor,-12339044.75,810.7056962025316,23114.247648902823,50095.35736677116,1382.3636363636363,294.26959247648904,44273.595611285265,312.0,0.0,4.0,0.012658227848101266,91027.0,29926.0,379013.0,14269228.0,30462.0,56266.0,1800912.0,0.02821316614420063,693119705469587456
false,-277787.1217391304,-6926.991304347826,34371.70491803279,10076.073770491803,6902.754098360656,208.5737704918033,84316.4918032787,114.0,0.0,1.0,0.008695652173913044,228.0,267027.0,445793.0,322561.0,268511.0,6318.0,744696.0,0.02459016393442623,666051332504207360
non-rumor,-53200668.45247148,1210.509505703422,35740.98098859315,211147.33460076046,1458.9695817490494,794.7604562737642,68166.97338403043,261.0,0.0,2.0,0.0076045627376425855,3846.0,38852.0,664748.0,55087311.0,38973.0,183190.0,617237.0,0.026615969581749048,692929779696275456
unverified,-1380071.964467005,-1958.492385786802,20085.93157894737,12277.952631578948,902.3,162.51052631578946,25836.036842105263,189.0,0.0,8.0,0.04060913705583756,2031.0,7699.0,411895.0,1560970.0,10682.0,17284.0,366940.0,0.021052631578947368,650975967146602496
true,-1062665.2448979593,242.37414965986395,20079.805369127516,27081.8322147651,2297.8657718120803,283.7248322147651,66367.59060402685,136.0,0.0,11.0,0.07482993197278912,3129275.0,44480.0,343151.0,3147132.0,44929.0,10463.0,752260.0,0.087248322147651,553544694765215745
false,-5542.371428571429,-157.55714285714285,28755.986842105263,2236.6973684210525,1179.1842105263158,54.578947368421055,54063.44736842105,63.0,0.0,7.0,0.1,15692.0,11763.0,269700.0,24887.0,12763.0,1667.0,297574.0,0.013157894736842105,674080899055546368
false,-142585.92610837438,-9491.773399014779,7468.916666666667,1766.4950980392157,484.1617647058824,9.372549019607844,62890.436274509804,188.0,0.0,15.0,0.07389162561576355,1626.0,1777.0,234137.0,178081.0,12216.0,674.0,435835.0,0.0,626770498328895488
false,-1732771.6,2241.2444444444445,12362.209677419354,14754.913978494624,2432.2741935483873,60.06989247311828,89856.54838709677,173.0,0.0,7.0,0.03888888888888889,560.0,87932.0,190603.0,1953344.0,87933.0,7605.0,626492.0,0.0,657007736467525632
true,-3181352.1912568305,1297.27868852459,21112.18817204301,20091.58064516129,1884.4139784946237,263.8763440860215,38886.666666666664,180.0,0.0,3.0,0.01639344262295082,995.0,47278.0,437297.0,3328525.0,47778.0,37877.0,478992.0,0.016129032258064516,614626710248534016
unverified,-154520.40555555557,1001.7777777777778,42766.29648241206,4511.984924623115,2938.713567839196,90.33668341708542,58178.0703517588,172.0,0.0,8.0,0.044444444444444446,15487.0,54570.0,484545.0,185680.0,55907.0,3210.0,457506.0,0.005025125628140704,751536167183613952
non-rumor,-22695473.27700831,973.0997229916898,14115.53591160221,66930.70994475138,1034.4779005524863,397.02762430939225,36515.53314917127,357.0,0.0,4.0,0.0110803324099723,19019.0,14940.0,331911.0,23680348.0,14940.0,112603.0,1024242.0,0.011049723756906077,693771953648373760
true,-37974484.57591623,85.64659685863874,19784.878627968337,112859.83113456465,1392.7018469656991,427.7757255936676,48867.94722955145,369.0,0.0,13.0,0.034031413612565446,11480.0,77290.0,268328.0,41806466.0,78398.0,138303.0,959975.0,0.029023746701846966,649903655160815616
non-rumor,-237927.90365448504,-721.2591362126246,51481.71556886227,5436.574850299401,847.3203592814372,88.02095808383234,65626.28143712576,273.0,0.0,28.0,0.09302325581395349,171025.0,18133.0,531044.0,600288.0,18855.0,12320.0,611947.0,0.011976047904191617,692082861525078017
false,-28362.90093847758,-8033.958289885297,23120.868156934306,2369.881386861314,1137.4311131386862,42.55520072992701,79626.4019160584,719.0,0.0,240.0,0.2502606882168926,128076.0,19892.0,817431.0,458977.0,216285.0,2106.0,1992683.0,0.007755474452554745,614054616154550273
false,-6718.72,321.94,26038.314285714285,1629.3142857142857,782.1809523809524,18.914285714285715,44057.09523809524,95.0,0.0,5.0,0.05,1975.0,4676.0,280063.0,12349.0,4829.0,230.0,224323.0,0.0,674301960787505153
unverified,-331914.6785714286,584.202380952381,31640.071428571428,6156.440476190476,1560.357142857143,130.10714285714286,60548.54761904762,83.0,0.0,1.0,0.011904761904761904,6386.0,22708.0,910449.0,378298.0,23471.0,5415.0,1164719.0,0.011904761904761904,658755852199927808
unverified,-24432.809523809523,-12695.309523809523,53177.672093023255,6498.369767441861,5841.858139534884,101.30465116279069,99855.48139534883,115.0,0.0,11.0,0.0873015873015873,56331.0,24742.0,781391.0,164449.0,168448.0,1476.0,840881.0,0.0,748543642323783681
true,-3732.983870967742,-1006.4032258064516,25124.012706480305,925.2376111817026,660.7039390088945,10.415501905972047,29454.71918678526,44.0,0.0,18.0,0.2903225806451613,5280.0,1126.0,761178.0,49872.0,31213.0,745.0,496206.0,0.0,614494170590367744
false,-31699.18,-979.92,37963.00432900433,2438.004329004329,968.4155844155844,87.24891774891775,55680.01948051948,357.0,0.0,93.0,0.20666666666666667,106976.0,6985.0,817395.0,255195.0,9923.0,4109.0,932143.0,0.01948051948051948,661870323034431489
false,-40062723.83928572,552.6369047619048,25585.9011627907,247406.08720930232,1627.343023255814,884.203488372093,52963.691860465115,165.0,0.0,3.0,0.017857142857142856,15886.0,50828.0,971682.0,41806225.0,51936.0,138301.0,959958.0,0.029069767441860465,637873886072320001
unverified,-927640.7264150943,271.04716981132077,7760.710280373832,9838.672897196262,440.8785046728972,108.3177570093458,7717.14953271028,102.0,0.0,4.0,0.03773584905660377,17715.0,10259.0,99399.0,983974.0,10405.0,10286.0,115561.0,0.009345794392523364,732004388181434368
non-rumor,-12057582.254079254,-473.94638694638695,31337.36511627907,33846.78139534884,2102.609302325581,257.8209302325581,73128.22093023256,421.0,0.0,8.0,0.018648018648018648,404383.0,85255.0,326883.0,13259006.0,85485.0,63394.0,1320250.0,0.013953488372093023,689938201193115648
false,-20352.053333333333,-19002.906666666666,36379.329032258065,4868.174193548387,4403.890322580645,81.50967741935484,78218.62580645162,134.0,0.0,16.0,0.10666666666666667,80628.0,33325.0,429229.0,112194.0,65194.0,629.0,647744.0,0.0,645362146415525888
non-rumor,-52675639.951754384,981.6491228070175,28292.30131004367,244033.9825327511,1177.122270742358,880.1091703056769,82474.06550218341,227.0,0.0,1.0,0.0043859649122807015,887.0,18164.0,345146.0,55088206.0,18285.0,183188.0,1801041.0,0.017467248908296942,692758581494599681
false,-122206.43577981651,-116088.07339449541,29924.782978723404,5641.863829787234,4254.582978723404,88.53191489361703,59353.29361702128,207.0,0.0,11.0,0.05045871559633028,3498.0,2565.0,564626.0,177556.0,171828.0,1350.0,661868.0,0.0,672632863452299264
unverified,-118344.6875,-41373.90625,54340.72972972973,11854.0990990991,7417.7027027027025,137.67567567567568,110578.5945945946,91.0,0.0,5.0,0.052083333333333336,38862.0,22852.0,399344.0,186458.0,78041.0,1350.0,661868.0,0.009009009009009009,727187859367546880
unverified,-139436.90740740742,-813.8160493827161,38519.34228971963,3030.751168224299,1988.4859813084113,54.754672897196265,54954.93457943925,771.0,0.0,39.0,0.04814814814814815,94326.0,79513.0,572736.0,189347.0,81358.0,4025.0,1086839.0,0.0035046728971962616,764931593303646208
true,-1191881.0277777778,-5523.949074074074,29004.367301231803,8451.643896976484,2884.7928331466965,150.75363941769317,64536.90817469205,807.0,0.0,57.0,0.06597222222222222,268119.0,95771.0,520332.0,2639886.0,131415.0,17286.0,1313434.0,0.026875699888017916,525056576038518785
false,-75940.27011494253,-7177.0540229885055,29902.798292422627,4609.828175026681,3391.4797225186767,62.62700106723586,51942.746531483455,1613.0,0.0,127.0,0.07298850574712644,287880.0,200766.0,578476.0,388534.0,207878.0,2133.0,846612.0,0.0010672358591248667,672433211604013057
unverified,-32644.81818181818,-14115.818181818182,42284.447852760735,4996.395705521472,4208.28527607362,87.72699386503068,73482.49386503067,26.0,0.0,7.0,0.21212121212121213,10200.0,11135.0,684918.0,208160.0,77669.0,2905.0,815418.0,0.006134969325153374,747275598347837440
unverified,-22777.484567901236,1091.3456790123457,53435.59475218659,5592.790087463557,4303.4810495626825,72.07871720116619,72887.91253644315,302.0,0.0,22.0,0.06790123456790123,181996.0,81987.0,684884.0,208429.0,83384.0,682.0,715374.0,0.0,774833492865593344
unverified,-153373.91219512196,-1812.9024390243903,25152.333333333332,3973.217391304348,2633.1739130434785,71.29468599033817,38807.91787439614,201.0,0.0,4.0,0.01951219512195122,15060.0,104023.0,450871.0,173428.0,104819.0,1576.0,820453.0,0.014492753623188406,760928376668454912
unverified,-191947.1182795699,-13636.758064516129,23501.762666666666,2436.9893333333334,887.664,37.821333333333335,72306.77866666667,359.0,0.0,13.0,0.03494623655913978,12526.0,7699.0,554865.0,223056.0,16679.0,3119.0,895636.0,0.005333333333333333,728013148788154368
true,-2277395.395280236,-864.952802359882,16531.333333333332,12292.631268436578,1048.41592920354,167.6873156342183,28431.525073746314,321.0,0.0,18.0,0.05309734513274336,47489.0,22481.0,429772.0,3328545.0,22981.0,37874.0,833125.0,0.04129793510324484,614618682543616000
non-rumor,-38329491.746212125,292.344696969697,15915.280303030304,163180.0303030303,1414.1060606060605,599.155303030303,57909.72348484849,260.0,0.0,4.0,0.015151515151515152,4332.0,77290.0,212416.0,41805626.0,78398.0,138303.0,1711952.0,0.01893939393939394,693060960001597440
non-rumor,-5093369.568773234,726.3828996282527,30311.40221402214,24852.162361623617,1242.8856088560885,214.5977859778598,40732.42435424354,253.0,0.0,16.0,0.05947955390334572,10076.0,51910.0,707111.0,6285679.0,52186.0,38755.0,1055361.0,0.0036900369003690036,693826104633737217
unverified,-3703077.5945945946,-27.45945945945946,10709.0,36097.921739130434,1056.7478260869566,207.7478260869565,28217.93913043478,110.0,0.0,1.0,0.009009009009009009,213.0,4686.0,167597.0,3991555.0,5655.0,14912.0,411242.0,0.017391304347826087,723644048867774464
unverified,-45501.7247706422,-28776.550458715596,59570.575,4076.9166666666665,3864.991666666667,73.425,84237.36666666667,104.0,0.0,5.0,0.045871559633027525,40541.0,71581.0,695400.0,95338.0,104824.0,1442.0,906648.0,0.0,742050150307246080
false,-86581.7445887446,-282.7705627705628,23724.858974358973,2094.5384615384614,1511.41452991453,38.01709401709402,52065.88034188034,218.0,0.0,13.0,0.05627705627705628,29960.0,128577.0,375909.0,131987.0,129872.0,2397.0,585209.0,0.0,675064077367005184
true,-189175.4814814815,-5834.537037037037,28455.963636363635,4370.063636363637,2095.8454545454547,112.96363636363637,78647.72727272728,104.0,0.0,4.0,0.037037037037037035,1664.0,10250.0,227533.0,221578.0,18936.0,3979.0,946032.0,0.00909090909090909,524926235030589440
unverified,-40968648.02666666,-2.9,30463.802631578947,276098.3881578947,1086.9342105263158,997.0,97323.99342105263,148.0,0.0,2.0,0.013333333333333334,4062.0,18662.0,517042.0,41805829.0,19770.0,138304.0,1800871.0,0.006578947368421052,749286768554438658
true,-150880.0989304813,-194.13636363636363,17098.20053475936,8126.75935828877,1672.302139037433,132.9090909090909,40675.8743315508,346.0,0.0,28.0,0.0748663101604278,1428390.0,100711.0,368968.0,1441345.0,101816.0,22526.0,1323274.0,0.0481283422459893,544380742076088320
true,-12353015.127371274,-5290.238482384824,19743.379032258064,37626.30913978495,1480.5564516129032,319.1317204301075,36810.68548387097,363.0,0.0,6.0,0.016260162601626018,743.0,40641.0,544705.0,13290995.0,47778.0,94710.0,710340.0,0.053763440860215055,614605997953404929
false,-111.84931506849315,6.52054794520548,16822.011363636364,565.9545454545455,409.14772727272725,2.4204545454545454,13530.954545454546,47.0,0.0,26.0,0.3561643835616438,1386.0,684.0,152761.0,1931.0,1039.0,27.0,109247.0,0.0,629503919098429440
non-rumor,-50951574.59161491,698.2919254658385,19257.3503875969,165424.33333333334,1015.3767441860465,614.8434108527132,41138.85426356589,639.0,0.0,5.0,0.007763975155279503,1000.0,52338.0,485551.0,55087624.0,52459.0,183186.0,1651605.0,0.023255813953488372,692623941131722752
false,-5591814.76618705,-1786.3057553956835,24794.982332155476,24360.35335689046,786.7879858657244,112.14487632508833,55117.31802120141,260.0,0.0,18.0,0.06474820143884892,13627.0,14460.0,577813.0,6532440.0,17372.0,23867.0,611729.0,0.01060070671378092,626546123713474560
false,-12375494.611464968,640.452229299363,37559.29746835443,97197.87974683545,2445.9367088607596,458.32278481012656,82516.12658227848,153.0,0.0,4.0,0.025477707006369428,16869.0,30621.0,891661.0,14269217.0,31157.0,56266.0,689985.0,0.0379746835443038,672906198434209792
false,-499464.9130434783,-1320.9130434782608,35045.8606060606,8436.387878787878,5040.345454545454,117.96969696969697,72581.83636363636,161.0,0.0,0.0,0.0,-373.0,127019.0,387488.0,544682.0,129872.0,3854.0,668392.0,0.006060606060606061,673615263040798726
false,-182788.86666666667,-4837.573333333334,30042.721739130433,4660.908695652174,1469.4739130434782,80.97391304347826,62413.565217391304,204.0,0.0,21.0,0.09333333333333334,255617.0,27185.0,225847.0,256102.0,35871.0,3979.0,846612.0,0.008695652173913044,647169573599449088
false,-561624.9217391304,430.69565217391306,12957.034188034188,6084.2991452991455,1182.923076923077,210.77777777777777,52749.34188034188,114.0,0.0,1.0,0.008695652173913044,301.0,12640.0,155979.0,572763.0,13374.0,16465.0,1320250.0,0.0,641050980985999360
unverified,-950348.9178743961,3317.1256038647343,42035.14975845411,9917.014492753624,3752.207729468599,127.57487922705315,72912.31400966183,205.0,0.0,2.0,0.00966183574879227,3356.0,168335.0,407291.0,1090478.0,168448.0,8829.0,678214.0,0.00966183574879227,727179214546456577
false,-2463.7739130434784,276.2,27350.201680672268,917.8235294117648,883.218487394958,33.18487394957983,33783.49579831933,108.0,0.0,7.0,0.06086956521739131,13680.0,16422.0,559204.0,17060.0,16750.0,445.0,618075.0,0.0,666107476526432256
false,-3159.032258064516,31.903225806451612,9468.557471264368,1083.9080459770114,588.566091954023,16.00287356321839,33724.21264367816,38.0,0.0,24.0,0.3870967741935484,55616.0,2543.0,116550.0,56198.0,5885.0,508.0,542439.0,0.008620689655172414,620916279608651776
false,-83377.79787234042,-3222.978723404255,51505.94736842105,7780.147368421052,6313.884210526316,160.96842105263158,109736.92631578947,92.0,0.0,2.0,0.02127659574468085,22864.0,94026.0,242511.0,102425.0,97885.0,2490.0,617193.0,0.031578947368421054,673664899571060736
true,-209971.8449612403,-3583.953488372093,39813.759398496244,7360.736842105263,3081.8195488721803,145.42105263157896,95840.3984962406,118.0,0.0,11.0,0.08527131782945736,65475.0,33575.0,781383.0,360296.0,53066.0,4799.0,771887.0,0.03007518796992481,544271284796784640
non-rumor,-12366710.036585366,1424.5170731707317,35430.11192214112,40404.189781021894,2093.9367396593675,300.6082725060827,83535.94890510949,407.0,0.0,3.0,0.007317073170731708,1091370.0,36068.0,910449.0,13258998.0,36298.0,63394.0,1800871.0,0.0267639902676399,692071267189395457
unverified,-6045.5650195058515,-463.889466840052,15346.344906089926,1313.0535002845759,704.1735913488901,14.723392145702903,40727.274900398406,1243.0,0.0,295.0,0.1918075422626788,108265.0,27868.0,283584.0,121392.0,28383.0,601.0,497801.0,0.0022766078542970974,651486105628463105
false,-379302.725,-968.4,26548.058823529413,6766.882352941177,756.5882352941177,70.84705882352941,42158.55294117647,74.0,0.0,6.0,0.075,3839.0,4491.0,269017.0,490452.0,6522.0,3785.0,335793.0,0.011764705882352941,675065047710892033
false,-615023.6851851852,274.24074074074076,23512.245454545453,8819.245454545455,1819.0454545454545,196.8,73915.68181818182,105.0,0.0,3.0,0.027777777777777776,13586.0,32396.0,375742.0,694186.0,34047.0,10768.0,754532.0,0.05454545454545454,668144671772778497
false,-4335.928571428572,5.464285714285714,12299.811475409837,1583.204918032787,1120.8647540983607,24.16393442622951,33643.28278688525,17.0,0.0,11.0,0.39285714285714285,1831.0,2034.0,115164.0,112897.0,105312.0,1573.0,587950.0,0.0,604625816992002049
non-rumor,-425694.5816326531,-728.0769944341373,21598.967418546366,4279.439431913116,1654.328320802005,57.63492063492063,45305.89306599833,1025.0,0.0,53.0,0.04916512059369202,452434.0,223954.0,525153.0,766028.0,224635.0,12822.0,2549943.0,0.01670843776106934,682996350909157376
non-rumor,-12350223.271477664,2103.487972508591,47339.07876712329,75551.00684931508,2623.051369863014,513.2945205479452,106993.57876712328,290.0,0.0,1.0,0.003436426116838488,536.0,69730.0,520732.0,13259003.0,69960.0,63394.0,2193963.0,0.05821917808219178,688752927381581824
non-rumor,-32420487.02222222,1470.9481481481482,17620.568493150684,511933.18493150687,1570.7465753424658,2055.698630136986,66544.2602739726,134.0,0.0,1.0,0.007407407407407408,119.0,78395.0,323611.0,39537996.0,78398.0,134852.0,959952.0,0.0273972602739726,693069637030957057
true,-1668756.8170731708,84.8048780487805,19736.488095238095,20641.0,1673.0416666666667,206.38690476190476,35033.46428571428,145.0,0.0,19.0,0.11585365853658537,2706267.0,41695.0,704656.0,2707344.0,42732.0,14557.0,543012.0,0.13690476190476192,524962142563610625
non-rumor,-32007521.173611112,459.27777777777777,16340.618937644342,79156.03233256351,771.2078521939953,162.22632794457274,36186.52886836028,423.0,0.0,9.0,0.020833333333333332,1205.0,34544.0,305628.0,33890936.0,34841.0,59969.0,1029374.0,0.011547344110854504,693573781730783232
non-rumor,-3076019.7337883958,1896.6382252559727,31012.276094276094,14272.73063973064,2617.6127946127945,217.46464646464648,61773.946127946125,288.0,0.0,5.0,0.017064846416382253,8435.0,48569.0,452572.0,3328535.0,49069.0,37874.0,988950.0,0.020202020202020204,692083780123783172
false,-5675682.6161616165,-1714.6313131313132,15024.43216080402,35539.65829145729,1068.6733668341708,182.22613065326632,59352.18592964824,195.0,0.0,3.0,0.015151515151515152,2003.0,27244.0,262500.0,6532494.0,30156.0,23867.0,444686.0,0.010050251256281407,627828211003469825
